k,eps_0,M_tar
1.954e-07,6.3e-06,16200.0
3.907e-07,1.26e-05,32500.0
5.861e-07,1.89e-05,48700.0
7.815e-07,2.53e-05,64900.0
9.769e-07,3.16e-05,81200.0
1.1722e-06,3.79e-05,97400.0
1.3676e-06,4.42e-05,113600.0
1.563e-06,5.05e-05,129900.0
1.7583e-06,5.68e-05,146100.0
1.9537e-06,6.31e-05,162300.0
2.1491e-06,6.94e-05,178600.0
2.3444e-06,7.58e-05,194800.0
2.5398e-06,8.21e-05,211100.0
2.7352e-06,8.84e-05,227300.0
2.9306e-06,9.47e-05,243500.0
3.1259e-06,0.000101,259800.0
3.3213e-06,0.0001073,276000.0
3.5167e-06,0.0001136,292200.0
3.712e-06,0.00012,308500.0
3.9074e-06,0.0001263,324700.0
4.1028e-06,0.0001326,340900.0
4.2981e-06,0.0001389,357200.0
4.4935e-06,0.0001452,373400.0
4.6889e-06,0.0001515,389600.0
4.8843e-06,0.0001578,405900.0
5.0796e-06,0.0001642,422100.0
5.275e-06,0.0001705,438300.0
5.4704e-06,0.0001768,454600.0
5.6657e-06,0.0001831,470800.0
5.8611e-06,0.0001894,487000.0
6.0565e-06,0.0001957,503300.0
6.2519e-06,0.000202,519500.0
6.4472e-06,0.0002083,535700.0
6.6426e-06,0.0002147,552000.0
6.838e-06,0.000221,568200.0
7.0333e-06,0.0002273,584500.0
7.2287e-06,0.0002336,600700.0
7.4241e-06,0.0002399,616900.0
7.6194e-06,0.0002462,633200.0
7.8148e-06,0.0002525,649400.0
8.0102e-06,0.0002589,665600.0
8.2056e-06,0.0002652,681900.0
8.4009e-06,0.0002715,698100.0
8.5963e-06,0.0002778,714300.0
8.7917e-06,0.0002841,730600.0
8.987e-06,0.0002904,746800.0
9.1824e-06,0.0002967,763000.0
9.3778e-06,0.000303,779300.0
9.5731e-06,0.0003094,795500.0
9.7685e-06,0.0003157,811700.0
9.9639e-06,0.000322,828000.0
1.01593e-05,0.0003283,844200.0
1.03546e-05,0.0003346,860400.0
1.055e-05,0.0003409,876700.0
1.07454e-05,0.0003472,892900.0
1.09407e-05,0.0003536,909100.0
1.11361e-05,0.00036,925200.0
1.13315e-05,0.0003666,940700.0
1.15269e-05,0.0003735,955800.0
1.17222e-05,0.0003806,970400.0
1.19176e-05,0.0003879,984600.0
1.2113e-05,0.0003954,998300.0
1.23083e-05,0.0004032,1011700.0
1.25037e-05,0.0004111,1024700.0
1.26991e-05,0.0004193,1037300.0
1.28944e-05,0.0004276,1049500.0
1.30898e-05,0.0004362,1061500.0
1.32852e-05,0.0004449,1073100.0
1.34806e-05,0.0004537,1084400.0
1.36759e-05,0.0004628,1095400.0
1.38713e-05,0.000472,1106100.0
1.40667e-05,0.0004814,1116600.0
1.4262e-05,0.0004909,1126800.0
1.44574e-05,0.0005006,1136700.0
1.46528e-05,0.0005105,1146500.0
1.48481e-05,0.0005205,1155900.0
1.50435e-05,0.0005307,1165200.0
1.52389e-05,0.0005409,1174200.0
1.54343e-05,0.0005514,1183100.0
1.56296e-05,0.0005619,1191700.0
1.5825e-05,0.0005726,1200100.0
1.60204e-05,0.0005835,1208400.0
1.62157e-05,0.0005944,1216500.0
1.64111e-05,0.0006055,1224400.0
1.66065e-05,0.0006167,1232100.0
1.68019e-05,0.000628,1239700.0
1.69972e-05,0.0006395,1247100.0
1.71926e-05,0.000651,1254400.0
1.7388e-05,0.0006627,1261500.0
1.75833e-05,0.0006745,1268500.0
1.77787e-05,0.0006864,1275300.0
1.79741e-05,0.0006984,1282000.0
1.81694e-05,0.0007105,1288600.0
1.83648e-05,0.0007227,1295100.0
1.85602e-05,0.000735,1301400.0
1.87556e-05,0.0007474,1307600.0
1.89509e-05,0.0007599,1313700.0
1.91463e-05,0.0007725,1319700.0
1.93417e-05,0.0007852,1325600.0
1.9537e-05,0.000798,1331400.0
