kappa, mx, n
0.000000000000000,0.000,0.000
0.000000100000000,6621136.364,-0.001
0.000000200000000,12157483.904,-0.000
0.000000250000000,14386764.370,-0.000
0.000000300000000,16494471.203,-0.001
0.000000350000000,18535824.017,-0.001
0.000000450000000,22514721.110,-0.001
0.000000550000000,26424010.703,0.001
0.000000650000000,30299440.288,-0.001
0.000000750000000,34156393.675,0.001
0.000000950000000,41841505.667,0.001
0.000001150000000,49507434.354,-0.000
0.000001350000000,57164110.936,-0.001
0.000001750000000,72464498.726,-0.001
0.000002150000000,87757027.965,-0.001
0.000002550000000,103046081.372,0.000
0.000002950000000,118333363.604,0.001
0.000003303060063,131825841.552,0.000
